"Date","Price","Open","High","Low","Vol.","Change %"
"11/02/2018","89,275","90,671","90,702","89,077","","-1.41%"
"11/01/2018","90,549","89,827","90,919","89,818","","0.86%"
"10/31/2018","89,774","90,143","90,305","89,626","","-0.34%"
"10/30/2018","90,081","90,263","90,421","89,829","","-0.12%"
"10/29/2018","90,192","90,660","90,777","89,864","","-0.43%"
"10/26/2018","90,583","90,238","91,357","90,057","","0.45%"
"10/25/2018","90,178","90,382","90,849","89,915","","-0.10%"
"10/24/2018","90,268","90,505","90,763","89,627","","-0.22%"
"10/23/2018","90,467","89,901","91,222","89,865","","0.69%"
"10/22/2018","89,850","89,756","90,235","89,655","","-0.10%"
"10/19/2018","89,941","90,123","90,450","89,871","","-0.13%"
"10/18/2018","90,063","89,989","90,479","89,623","","0.18%"
"10/17/2018","89,903","89,964","90,429","89,628","","-0.02%"
"10/16/2018","89,917","90,528","90,815","89,873","","-0.61%"
"10/15/2018","90,470","89,616","91,277","89,612","","0.96%"
"10/12/2018","89,610","90,655","90,665","89,466","","-1.10%"
"10/11/2018","90,605","88,725","90,823","88,439","","2.18%"
"10/10/2018","88,669","88,439","88,728","87,972","","0.31%"
"10/09/2018","88,391","88,036","88,544","87,916","","0.50%"
"10/08/2018","87,955","88,756","88,842","87,661","","-0.84%"
"10/05/2018","88,699","88,338","89,229","87,987","","0.46%"
"10/04/2018","88,290","87,820","88,878","87,714","","0.58%"
"10/03/2018","87,782","87,762","88,610","87,734","","0.09%"
"10/02/2018","87,699","86,698","88,131","86,667","","1.26%"
"10/01/2018","86,609","86,446","86,960","86,134","","0.25%"
"09/28/2018","86,398","85,842","86,621","85,642","","0.70%"
"09/27/2018","85,796","86,746","87,083","85,757","","-1.02%"
"09/26/2018","86,677","87,304","87,440","86,423","","-0.69%"
"09/25/2018","87,280","87,120","87,478","86,986","","0.23%"
"09/24/2018","87,082","86,354","87,550","86,304","","0.54%"
"09/21/2018","86,610","86,957","87,617","86,069","","-0.33%"
"09/20/2018","86,899","87,109","87,341","86,588","","-0.21%"
"09/19/2018","87,079","87,119","87,711","86,905","","0.01%"
"09/18/2018","87,066","87,115","87,852","86,654","","-0.04%"
"09/17/2018","87,099","85,766","87,393","85,736","","1.56%"
"09/14/2018","85,763","86,571","86,856","85,748","","-0.83%"
"09/13/2018","86,480","87,093","87,374","86,444","","-0.57%"
"09/12/2018","86,973","87,070","87,231","86,048","","-0.01%"
"09/11/2018","86,978","86,615","87,139","86,290","","0.43%"
"09/10/2018","86,609","85,818","86,854","85,710","","0.94%"
"09/07/2018","85,803","86,338","86,614","85,593","","-0.59%"
"09/06/2018","86,311","85,907","86,870","85,855","","0.56%"
"09/05/2018","85,835","85,280","86,015","85,161","","0.69%"
"09/04/2018","85,249","85,577","85,656","85,038","","-0.27%"
