"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2016","70,214","70,238","70,286","70,141","","0.03%"
"12/31/2015","70,190","70,590","70,684","70,029","","-0.47%"
"12/30/2015","70,520","70,815","71,226","70,361","","-0.37%"
"12/29/2015","70,785","70,730","71,382","70,648","","0.15%"
"12/28/2015","70,677","71,043","71,119","70,529","","-0.45%"
"12/25/2015","71,000","70,951","71,050","70,950","","0.15%"
"12/24/2015","70,891","70,662","71,137","70,649","","0.41%"
"12/23/2015","70,603","71,035","71,240","70,547","","-0.56%"
"12/22/2015","71,003","71,470","71,635","70,936","","-0.58%"
"12/21/2015","71,415","70,708","71,675","70,486","","1.15%"
"12/18/2015","70,605","69,858","70,975","69,856","","1.11%"
"12/17/2015","69,832","71,252","71,375","69,418","","-1.97%"
"12/16/2015","71,238","70,931","71,814","70,881","","0.50%"
"12/15/2015","70,884","71,146","71,568","70,770","","-0.32%"
"12/14/2015","71,110","72,121","72,362","71,131","","-1.39%"
"12/11/2015","72,111","71,547","72,523","71,095","","0.85%"
"12/10/2015","71,505","71,719","71,992","71,377","","-0.26%"
"12/09/2015","71,691","71,865","72,572","71,468","","-0.19%"
"12/08/2015","71,827","71,538","72,086","71,300","","0.46%"
"12/07/2015","71,496","72,441","72,516","71,449","","-1.25%"
"12/04/2015","72,404","70,946","72,583","70,668","","2.11%"
"12/03/2015","70,909","70,164","71,184","69,685","","1.12%"
"12/02/2015","70,120","71,062","71,231","69,944","","-1.27%"
"12/01/2015","71,025","70,766","71,436","70,721","","0.42%"
"11/30/2015","70,729","70,679","71,085","70,338","","0.00%"
"11/27/2015","70,726","71,351","71,484","70,367","","-0.83%"
"11/26/2015","71,319","71,112","71,535","71,012","","0.35%"
"11/25/2015","71,067","71,283","71,678","70,865","","-0.25%"
"11/24/2015","71,247","70,993","71,729","70,971","","0.41%"
"11/23/2015","70,953","71,247","71,370","70,628","","-0.31%"
"11/20/2015","71,170","71,542","72,036","71,071","","-0.44%"
"11/19/2015","71,485","70,733","71,794","70,707","","1.15%"
"11/18/2015","70,671","70,645","71,071","70,378","","0.13%"
"11/17/2015","70,579","71,359","71,540","70,305","","-1.01%"
"11/16/2015","71,301","71,631","72,645","71,270","","-0.36%"
"11/13/2015","71,557","71,679","71,997","71,353","","-0.13%"
"11/12/2015","71,651","71,768","72,010","70,986","","-0.07%"
"11/11/2015","71,703","72,137","72,408","71,628","","-0.55%"
"11/10/2015","72,098","72,600","72,739","71,919","","-0.67%"
"11/09/2015","72,584","72,089","72,765","72,040","","0.76%"
"11/06/2015","72,039","72,752","73,113","71,532","","-0.87%"
"11/05/2015","72,669","72,688","73,192","72,628","","0.02%"
"11/04/2015","72,651","73,316","73,662","72,455","","-0.82%"
"11/03/2015","73,253","74,325","74,531","73,026","","-1.38%"
"11/02/2015","74,280","74,726","74,845","74,246","","-0.56%"
"10/30/2015","74,701","74,995","75,155","74,532","","-0.35%"
"10/29/2015","74,964","75,093","75,756","74,813","","-0.12%"
"10/28/2015","75,052","75,963","76,754","74,881","","-1.15%"
"10/27/2015","75,925","75,540","76,024","75,459","","0.56%"
"10/26/2015","75,504","75,635","75,873","75,374","","-0.03%"
"10/23/2015","75,527","75,631","76,517","75,235","","-0.07%"
"10/22/2015","75,583","76,016","76,163","75,530","","-0.54%"
"10/21/2015","75,994","76,476","76,788","75,835","","-0.58%"
"10/20/2015","76,437","76,014","76,727","75,823","","0.61%"
"10/19/2015","75,976","76,168","76,320","75,811","","-0.21%"
"10/16/2015","76,137","76,641","76,807","76,049","","-0.61%"
"10/15/2015","76,602","76,724","77,143","76,255","","-0.11%"
"10/14/2015","76,688","76,090","77,102","75,625","","0.86%"
"10/13/2015","76,036","75,424","76,119","74,866","","0.87%"
"10/12/2015","75,384","74,983","75,742","74,792","","0.67%"
"10/09/2015","74,881","73,826","75,123","73,824","","1.47%"
"10/08/2015","73,798","74,380","74,739","73,818","","-0.69%"
"10/07/2015","74,311","74,720","75,276","74,106","","-0.52%"
"10/06/2015","74,698","73,978","75,069","73,956","","1.03%"
"10/05/2015","73,935","74,381","74,505","73,721","","-0.59%"
"10/02/2015","74,377","73,074","74,755","72,415","","1.82%"
"10/01/2015","73,046","73,056","73,342","72,833","","0.05%"
"09/30/2015","73,011","74,217","74,363","72,856","","-1.58%"
"09/29/2015","74,181","75,031","75,266","74,170","","-1.07%"
"09/28/2015","74,980","75,836","75,996","74,593","","-1.09%"
"09/25/2015","75,810","76,289","76,338","75,426","","-0.58%"
"09/24/2015","76,253","74,815","76,737","74,747","","1.98%"
"09/23/2015","74,774","74,126","75,017","74,016","","0.96%"
"09/22/2015","74,065","74,469","74,802","73,913","","-0.48%"
"09/21/2015","74,423","75,052","75,101","74,265","","-0.76%"
"09/18/2015","74,993","74,815","75,137","74,263","","0.36%"
"09/17/2015","74,725","74,101","74,920","73,818","","0.86%"
"09/16/2015","74,091","73,443","74,759","73,359","","0.94%"
"09/15/2015","73,404","73,507","73,694","73,240","","-0.06%"
"09/14/2015","73,449","73,382","73,787","73,192","","0.15%"
"09/11/2015","73,338","73,647","73,906","72,946","","-0.35%"
"09/10/2015","73,598","73,827","74,175","73,467","","-0.22%"
"09/09/2015","73,760","74,355","74,726","73,221","","-0.76%"
"09/08/2015","74,328","74,841","75,043","74,333","","-0.68%"
"09/07/2015","74,840","74,933","75,071","74,532","","0.09%"
"09/04/2015","74,774","74,416","75,181","74,308","","0.57%"
"09/03/2015","74,352","75,076","75,167","74,215","","-0.91%"
"09/02/2015","75,038","75,696","75,810","74,914","","-0.82%"
"09/01/2015","75,659","75,365","76,182","75,291","","0.42%"
"08/31/2015","75,343","75,012","75,425","74,746","","0.50%"
"08/28/2015","74,966","74,214","75,436","74,196","","1.09%"
"08/27/2015","74,158","74,281","74,652","73,809","","-0.11%"
"08/26/2015","74,236","75,623","76,020","73,958","","-1.81%"
"08/25/2015","75,601","77,181","77,292","74,999","","-1.99%"
"08/24/2015","77,133","76,883","78,017","76,312","","0.66%"
"08/21/2015","76,631","75,394","76,829","75,385","","1.70%"
"08/20/2015","75,348","73,837","75,602","73,695","","2.08%"
"08/19/2015","73,814","73,164","74,056","72,893","","0.95%"
"08/18/2015","73,121","73,137","73,275","72,624","","0.04%"
"08/17/2015","73,091","72,524","73,371","72,504","","0.72%"
"08/14/2015","72,571","72,739","72,889","72,335","","-0.13%"
"08/13/2015","72,667","72,923","73,094","72,451","","-0.31%"
"08/12/2015","72,895","71,369","72,991","70,942","","2.23%"
"08/11/2015","71,308","70,450","71,672","69,781","","1.27%"
"08/10/2015","70,414","69,665","70,760","69,460","","1.02%"
"08/07/2015","69,704","69,562","70,172","69,126","","0.44%"
"08/06/2015","69,402","69,153","69,728","69,050","","0.48%"
"08/05/2015","69,070","69,377","69,591","68,963","","-0.39%"
"08/04/2015","69,337","69,730","69,861","69,207","","-0.48%"
"08/03/2015","69,669","70,117","70,251","69,594","","-0.59%"
"07/31/2015","70,081","69,861","70,537","69,230","","0.49%"
"07/30/2015","69,738","69,998","70,244","69,249","","-0.31%"
"07/29/2015","69,957","69,877","70,298","69,612","","0.20%"
"07/28/2015","69,818","70,284","70,393","69,756","","-0.53%"
"07/27/2015","70,192","70,518","70,864","69,975","","-0.30%"
"07/24/2015","70,400","69,707","70,597","68,888","","1.05%"
"07/23/2015","69,670","69,563","70,425","69,418","","0.24%"
"07/22/2015","69,505","69,997","70,160","69,168","","-0.68%"
"07/21/2015","69,978","69,747","70,583","69,726","","0.42%"
"07/20/2015","69,688","71,996","72,006","69,124","","-3.18%"
"07/17/2015","71,976","72,710","72,822","71,770","","-0.92%"
"07/16/2015","72,642","73,000","73,042","72,549","","-0.44%"
"07/15/2015","72,962","73,137","73,353","72,617","","-0.16%"
"07/14/2015","73,081","73,473","73,548","73,049","","-0.48%"
"07/13/2015","73,431","73,705","73,930","73,141","","-0.35%"
"07/10/2015","73,690","73,392","73,860","73,349","","0.46%"
"07/09/2015","73,355","73,478","74,107","73,339","","-0.11%"
"07/08/2015","73,438","73,422","74,046","72,974","","0.07%"
"07/07/2015","73,387","74,044","74,167","72,962","","-0.84%"
"07/06/2015","74,008","74,079","74,503","73,781","","-0.04%"
"07/03/2015","74,036","73,807","74,240","73,733","","0.36%"
"07/02/2015","73,773","74,271","74,381","73,499","","-0.63%"
"07/01/2015","74,243","74,516","74,879","74,211","","-0.34%"
"06/30/2015","74,493","75,166","75,254","74,159","","-0.82%"
"06/29/2015","75,113","74,644","75,768","74,641","","0.76%"
"06/26/2015","74,543","74,475","74,973","74,288","","0.13%"
"06/25/2015","74,448","74,704","75,000","74,415","","-0.26%"
"06/24/2015","74,641","74,947","75,139","74,439","","-0.39%"
"06/23/2015","74,930","75,340","75,564","74,786","","-0.48%"
"06/22/2015","75,292","76,271","76,321","75,072","","-1.13%"
"06/19/2015","76,154","76,420","76,715","76,093","","-0.30%"
"06/18/2015","76,383","75,859","76,816","75,770","","0.79%"
"06/17/2015","75,787","75,854","76,138","75,340","","-0.01%"
"06/16/2015","75,794","76,032","76,224","75,546","","-0.27%"
"06/15/2015","75,999","75,689","76,255","75,173","","0.42%"
"06/12/2015","75,678","75,625","75,929","75,414","","0.16%"
"06/11/2015","75,557","75,650","75,848","75,246","","-0.05%"
"06/10/2015","75,593","75,375","76,155","75,138","","0.41%"
"06/09/2015","75,281","75,074","75,665","75,027","","0.32%"
"06/08/2015","75,038","74,569","75,461","74,553","","0.50%"
"06/05/2015","74,662","75,240","75,475","74,154","","-0.69%"
"06/04/2015","75,181","75,838","76,117","75,018","","-0.79%"
"06/03/2015","75,779","76,000","76,297","75,564","","-0.20%"
"06/02/2015","75,929","75,633","76,322","75,546","","0.45%"
"06/01/2015","75,588","75,874","76,565","75,436","","-0.31%"
"05/29/2015","75,823","75,812","76,067","75,691","","0.11%"
"05/28/2015","75,742","75,825","76,099","75,345","","-0.04%"
"05/27/2015","75,769","75,957","76,323","75,768","","-0.15%"
"05/26/2015","75,885","76,647","76,911","75,794","","-0.95%"
"05/25/2015","76,615","76,618","76,774","76,398","","0.12%"
"05/22/2015","76,520","76,694","77,218","76,365","","-0.15%"
"05/21/2015","76,636","76,917","77,269","76,470","","-0.36%"
"05/20/2015","76,917","77,038","77,325","76,815","","-0.07%"
"05/19/2015","76,973","78,087","78,130","76,912","","-1.35%"
"05/18/2015","78,026","77,633","78,422","77,485","","0.52%"
"05/15/2015","77,621","77,399","77,737","76,994","","0.35%"
"05/14/2015","77,347","77,832","77,988","77,369","","-0.57%"
"05/13/2015","77,791","76,589","77,979","76,322","","1.63%"
"05/12/2015","76,546","75,776","76,947","75,717","","1.07%"
"05/11/2015","75,733","75,691","76,120","75,387","","0.06%"
"05/08/2015","75,686","75,890","76,336","75,522","","-0.18%"
"05/07/2015","75,820","75,846","76,311","75,594","","0.05%"
"05/06/2015","75,782","75,608","76,164","75,479","","0.28%"
"05/05/2015","75,567","75,479","76,065","75,279","","0.16%"
"05/04/2015","75,448","75,062","75,895","74,862","","0.55%"
"05/01/2015","75,037","75,037","75,037","75,037","","-0.22%"
"04/30/2015","75,204","76,454","76,892","74,888","","-1.59%"
"04/29/2015","76,419","76,416","76,906","76,151","","0.05%"
"04/28/2015","76,384","76,147","76,652","75,778","","0.35%"
"04/27/2015","76,114","75,102","76,484","75,036","","1.44%"
"04/24/2015","75,035","75,563","75,924","74,752","","-0.64%"
"04/23/2015","75,519","74,773","75,793","74,594","","1.06%"
"04/22/2015","74,724","75,608","75,794","74,650","","-1.05%"
"04/21/2015","75,517","75,506","75,761","75,019","","0.06%"
"04/20/2015","75,469","75,356","75,803","75,185","","0.24%"
"04/17/2015","75,287","74,687","75,391","74,615","","0.84%"
"04/16/2015","74,660","74,989","75,438","74,462","","-0.37%"
"04/15/2015","74,935","74,273","75,098","74,205","","0.95%"
"04/14/2015","74,229","74,810","74,987","73,896","","-0.74%"
"04/13/2015","74,782","75,179","75,332","74,635","","-0.46%"
"04/10/2015","75,131","74,440","75,494","74,334","","1.00%"
"04/09/2015","74,385","74,786","74,874","74,188","","-0.47%"
"04/08/2015","74,733","75,328","75,576","74,553","","-0.72%"
"04/07/2015","75,272","75,551","75,770","75,232","","-0.36%"
"04/06/2015","75,542","75,320","76,144","75,265","","0.76%"
"04/03/2015","74,972","74,623","75,158","74,459","","0.52%"
"04/02/2015","74,582","74,812","75,142","74,269","","-0.27%"
"04/01/2015","74,788","73,721","75,151","73,592","","1.49%"
"03/31/2015","73,691","74,127","74,370","73,623","","-0.58%"
"03/30/2015","74,121","74,997","75,022","73,980","","-1.05%"
"03/27/2015","74,909","75,714","75,755","74,532","","-1.01%"
"03/26/2015","75,674","74,614","76,364","74,596","","1.47%"
"03/25/2015","74,580","74,403","74,856","73,947","","0.28%"
"03/24/2015","74,372","74,019","74,508","73,742","","0.53%"
"03/23/2015","73,982","73,822","74,174","73,498","","0.30%"
"03/20/2015","73,759","73,203","74,166","73,012","","0.83%"
"03/19/2015","73,152","73,194","73,852","72,533","","-0.05%"
"03/18/2015","73,185","72,009","73,646","71,757","","1.68%"
"03/17/2015","71,977","72,505","72,700","71,681","","-0.64%"
"03/16/2015","72,440","73,150","73,173","72,290","","-0.72%"
"03/13/2015","72,966","72,155","73,078","72,117","","1.16%"
"03/12/2015","72,128","72,538","72,972","71,771","","-0.51%"
"03/11/2015","72,500","72,864","73,142","72,044","","-0.44%"
"03/10/2015","72,821","73,092","73,476","72,507","","-0.34%"
"03/09/2015","73,072","72,972","73,656","72,916","","0.26%"
"03/06/2015","72,881","74,738","74,982","72,696","","-2.46%"
"03/05/2015","74,716","74,794","75,288","74,557","","-0.05%"
"03/04/2015","74,756","74,407","75,184","74,399","","0.52%"
"03/03/2015","74,369","74,662","75,109","73,997","","-0.36%"
"03/02/2015","74,634","74,870","75,723","74,480","","-0.18%"
"02/27/2015","74,768","74,668","75,308","74,453","","0.19%"
"02/26/2015","74,627","74,535","75,416","74,473","","0.22%"
"02/25/2015","74,463","74,631","75,238","74,289","","-0.17%"
"02/24/2015","74,592","74,710","74,983","74,013","","-0.11%"
"02/23/2015","74,673","74,849","75,258","74,096","","0.10%"
"02/20/2015","74,596","74,990","75,682","74,444","","-0.48%"
"02/19/2015","74,952","75,249","76,009","74,818","","-0.35%"
"02/18/2015","75,213","75,194","75,453","74,541","","0.08%"
"02/17/2015","75,155","76,454","76,774","74,812","","-1.69%"
"02/16/2015","76,445","76,278","76,943","76,242","","0.23%"
"02/13/2015","76,271","75,927","76,669","75,875","","0.51%"
"02/12/2015","75,885","76,044","76,884","75,723","","-0.18%"
"02/11/2015","76,025","76,882","77,210","75,894","","-1.08%"
"02/10/2015","76,856","77,008","77,347","76,675","","-0.12%"
"02/09/2015","76,949","76,598","77,325","76,459","","0.69%"
"02/06/2015","76,423","78,041","78,392","76,110","","-2.04%"
"02/05/2015","78,012","78,510","78,891","77,514","","-0.55%"
"02/04/2015","78,446","77,629","78,632","77,441","","1.11%"
"02/03/2015","77,586","78,654","79,376","77,409","","-1.31%"
"02/02/2015","78,614","79,593","79,637","78,282","","-1.22%"
"01/30/2015","79,589","77,719","79,704","77,701","","2.49%"
"01/29/2015","77,653","78,808","79,022","77,547","","-1.40%"
"01/28/2015","78,758","79,357","79,465","78,603","","-0.72%"
"01/27/2015","79,328","78,786","79,628","78,245","","0.76%"
"01/26/2015","78,734","79,506","79,823","78,475","","-0.95%"
"01/23/2015","79,490","80,228","80,264","79,021","","-0.84%"
"01/22/2015","80,162","79,623","80,487","78,822","","0.75%"
"01/21/2015","79,566","79,837","80,376","79,132","","-0.29%"
"01/20/2015","79,794","78,693","79,987","78,533","","1.41%"
"01/19/2015","78,683","79,181","79,295","78,426","","-0.61%"
"01/16/2015","79,169","78,384","79,310","77,687","","1.08%"
"01/15/2015","78,326","76,320","78,602","75,474","","2.71%"
"01/14/2015","76,259","76,269","77,268","75,933","","0.02%"
"01/13/2015","76,242","76,561","77,209","76,074","","-0.34%"
"01/12/2015","76,504","76,268","76,747","75,714","","0.37%"
"01/09/2015","76,226","75,765","76,307","75,407","","0.62%"
"01/08/2015","75,756","76,632","76,852","75,505","","-1.13%"
"01/07/2015","76,620","77,482","77,525","76,494","","-1.07%"
"01/06/2015","77,447","76,305","77,741","76,112","","1.55%"
"01/05/2015","76,268","75,267","76,511","74,876","","1.46%"
"01/02/2015","75,171","74,920","75,597","73,993","","0.42%"
"01/01/2015","74,854","74,637","75,002","74,554","","0.33%"
"12/31/2014","74,609","76,097","76,319","74,355","","-1.92%"
"12/30/2014","76,066","75,338","76,715","74,959","","1.03%"
"12/29/2014","75,290","76,026","76,232","75,089","","-0.93%"
"12/26/2014","75,999","74,515","76,308","74,515","","1.98%"
"12/25/2014","74,522","74,522","74,522","74,522","","0.00%"
"12/24/2014","74,522","74,626","74,991","74,504","","-0.08%"
"12/23/2014","74,581","74,366","75,207","74,166","","0.34%"
"12/22/2014","74,330","75,621","75,952","74,026","","-1.69%"
"12/19/2014","75,605","75,486","75,951","75,309","","0.25%"
"12/18/2014","75,415","75,562","76,633","75,102","","-0.15%"
"12/17/2014","75,532","76,198","76,561","75,230","","-0.82%"
"12/16/2014","76,154","75,365","77,785","74,973","","1.10%"
"12/15/2014","75,324","76,444","76,911","75,241","","-1.41%"
"12/12/2014","76,398","76,713","76,744","75,987","","-0.36%"
"12/11/2014","76,673","76,162","76,943","75,903","","0.68%"
"12/10/2014","76,155","76,184","76,736","75,796","","0.02%"
"12/09/2014","76,143","74,409","76,633","74,154","","2.38%"
"12/08/2014","74,370","73,871","74,717","73,515","","0.80%"
"12/05/2014","73,779","74,466","74,702","73,350","","-0.88%"
"12/04/2014","74,433","74,826","75,073","74,378","","-0.46%"
"12/03/2014","74,780","74,040","75,168","73,820","","1.01%"
"12/02/2014","74,030","75,099","75,147","73,760","","-1.38%"
"12/01/2014","75,069","72,593","75,669","71,116","","3.42%"
"11/28/2014","72,584","73,657","73,927","72,496","","-1.44%"
"11/27/2014","73,641","74,024","74,204","73,349","","-0.47%"
"11/26/2014","73,990","74,294","74,405","73,908","","-0.36%"
"11/25/2014","74,254","74,057","74,485","73,710","","0.34%"
"11/24/2014","74,004","74,228","74,391","73,839","","-0.25%"
"11/21/2014","74,186","73,932","74,611","73,413","","0.40%"
"11/20/2014","73,892","73,258","74,201","72,905","","0.92%"
"11/19/2014","73,220","73,891","74,480","72,882","","-0.85%"
"11/18/2014","73,848","73,371","74,422","73,051","","0.69%"
"11/17/2014","73,341","73,364","73,710","72,968","","0.04%"
"11/14/2014","73,315","71,610","73,670","70,888","","2.41%"
"11/13/2014","71,592","71,367","71,905","71,000","","0.38%"
"11/12/2014","71,322","71,622","71,949","71,037","","-0.36%"
"11/11/2014","71,583","70,803","72,183","70,530","","1.18%"
"11/10/2014","70,751","72,547","72,572","70,543","","-2.29%"
"11/07/2014","72,410","70,227","72,527","69,676","","3.17%"
"11/06/2014","70,185","70,063","70,671","69,925","","0.23%"
"11/05/2014","70,025","71,734","71,824","69,949","","-2.33%"
"11/04/2014","71,693","71,585","72,009","71,390","","0.18%"
"11/03/2014","71,561","72,065","72,112","71,359","","-0.62%"
"10/31/2014","72,004","73,651","73,781","71,388","","-2.17%"
"10/30/2014","73,604","74,297","74,706","73,482","","-0.86%"
"10/29/2014","74,239","75,166","75,496","74,077","","-1.20%"
"10/28/2014","75,141","75,191","75,634","74,811","","-0.01%"
"10/27/2014","75,150","75,313","75,574","75,074","","-0.14%"
"10/24/2014","75,257","75,349","75,510","75,172","","-0.09%"
"10/23/2014","75,326","75,965","76,125","75,020","","-0.80%"
"10/22/2014","75,934","76,355","76,565","75,920","","-0.52%"
"10/21/2014","76,327","76,351","76,859","76,256","","0.01%"
"10/20/2014","76,316","75,982","76,511","75,615","","0.49%"
"10/17/2014","75,942","76,623","76,675","75,728","","-0.84%"
"10/16/2014","76,586","76,234","77,008","75,958","","0.49%"
"10/15/2014","76,210","75,694","76,704","74,967","","0.73%"
"10/14/2014","75,660","75,395","76,071","75,176","","0.41%"
"10/13/2014","75,353","74,973","75,819","74,743","","0.58%"
"10/10/2014","74,918","74,740","75,190","74,488","","0.28%"
"10/09/2014","74,712","74,929","75,199","74,478","","-0.25%"
"10/08/2014","74,902","74,127","75,086","74,000","","1.11%"
"10/07/2014","74,081","74,300","74,368","73,876","","-0.26%"
"10/06/2014","74,273","73,303","74,413","72,859","","1.33%"
"10/03/2014","73,294","74,749","74,816","73,241","","-1.92%"
"10/02/2014","74,729","74,931","75,349","74,395","","-0.21%"
"10/01/2014","74,885","74,833","75,291","74,381","","0.12%"
"09/30/2014","74,796","74,851","75,552","74,369","","-0.01%"
"09/29/2014","74,802","74,560","75,329","74,363","","0.47%"
"09/26/2014","74,454","74,924","75,697","74,129","","-0.60%"
"09/25/2014","74,905","74,173","75,131","73,695","","1.04%"
"09/24/2014","74,132","74,693","74,834","74,103","","-0.70%"
"09/23/2014","74,652","74,063","75,331","74,000","","0.86%"
"09/22/2014","74,012","74,036","74,392","73,476","","0.08%"
"09/19/2014","73,950","74,416","74,652","73,824","","-0.58%"
"09/18/2014","74,378","74,533","74,897","74,097","","-0.12%"
"09/17/2014","74,465","75,443","75,613","74,426","","-1.26%"
"09/16/2014","75,419","75,369","75,895","75,219","","0.09%"
"09/15/2014","75,349","74,509","75,720","74,345","","1.06%"
"09/12/2014","74,557","75,611","75,665","74,459","","-1.35%"
"09/11/2014","75,577","76,148","76,188","75,246","","-0.74%"
"09/10/2014","76,138","76,080","76,589","75,790","","0.09%"
"09/09/2014","76,068","75,688","76,241","75,585","","0.58%"
"09/08/2014","75,632","76,626","76,726","75,439","","-1.26%"
"09/05/2014","76,594","76,130","76,928","75,888","","0.61%"
"09/04/2014","76,128","76,795","77,096","76,083","","-0.81%"
"09/03/2014","76,752","76,791","76,919","76,153","","-0.02%"
"09/02/2014","76,766","77,917","78,031","76,628","","-1.48%"
"09/01/2014","77,916","77,892","78,026","77,645","","0.07%"
"08/29/2014","77,863","78,021","78,166","77,606","","-0.19%"
"08/28/2014","78,011","77,558","78,599","77,526","","0.63%"
"08/27/2014","77,520","77,429","77,860","77,366","","0.10%"
"08/26/2014","77,446","77,333","78,173","77,180","","0.17%"
"08/25/2014","77,317","77,250","77,595","77,113","","-0.16%"
"08/22/2014","77,437","77,470","77,685","77,060","","-0.01%"
"08/21/2014","77,442","78,299","78,324","77,264","","-1.07%"
"08/20/2014","78,281","78,616","78,873","78,086","","-0.40%"
"08/19/2014","78,595","78,902","79,061","78,517","","-0.37%"
"08/18/2014","78,888","79,251","79,262","78,754","","-0.48%"
"08/15/2014","79,264","79,818","79,978","78,567","","-0.66%"
"08/14/2014","79,792","80,196","80,454","79,544","","-0.46%"
"08/13/2014","80,161","79,998","80,524","79,871","","0.27%"
"08/12/2014","79,948","80,035","80,509","79,792","","-0.08%"
"08/11/2014","80,015","80,060","80,241","79,726","","-0.01%"
"08/08/2014","80,026","80,399","81,421","79,865","","-0.43%"
"08/07/2014","80,374","80,323","80,528","79,732","","0.10%"
"08/06/2014","80,294","78,420","80,554","78,350","","2.44%"
"08/05/2014","78,381","78,512","78,756","78,048","","-0.13%"
"08/04/2014","78,484","79,213","79,238","78,387","","-0.88%"
"08/01/2014","79,177","77,670","79,407","77,620","","1.98%"
"07/31/2014","77,643","77,820","78,481","77,575","","-0.18%"
"07/30/2014","77,784","78,109","78,319","77,598","","-0.33%"
"07/29/2014","78,041","78,362","78,907","77,907","","-0.38%"
"07/28/2014","78,338","78,574","78,704","78,161","","-0.20%"
"07/25/2014","78,491","77,741","78,616","77,489","","1.03%"
"07/24/2014","77,692","78,269","78,350","77,457","","-0.73%"
"07/23/2014","78,264","78,508","78,779","78,188","","-0.23%"
"07/22/2014","78,448","79,041","79,160","78,368","","-0.74%"
"07/21/2014","79,032","79,058","79,514","78,799","","0.05%"
"07/18/2014","78,994","79,378","79,736","78,641","","-0.44%"
"07/17/2014","79,341","78,090","79,689","77,998","","1.61%"
"07/16/2014","78,084","77,784","78,411","77,742","","0.40%"
"07/15/2014","77,774","78,575","78,979","77,678","","-0.97%"
"07/14/2014","78,534","80,434","80,515","78,352","","-2.32%"
"07/11/2014","80,399","80,405","80,723","80,062","","0.03%"
"07/10/2014","80,378","79,350","80,977","78,836","","1.34%"
"07/09/2014","79,312","78,826","79,603","78,741","","0.67%"
"07/08/2014","78,788","79,117","79,229","78,528","","-0.39%"
"07/07/2014","79,099","78,870","79,144","78,567","","0.38%"
"07/04/2014","78,802","78,827","79,100","78,708","","0.02%"
"07/03/2014","78,790","79,207","79,254","78,255","","-0.48%"
"07/02/2014","79,172","79,676","79,722","78,869","","-0.56%"
"07/01/2014","79,620","79,715","80,058","79,554","","-0.08%"
"06/30/2014","79,680","79,007","79,850","78,806","","0.94%"
"06/27/2014","78,939","79,279","79,495","78,921","","-0.38%"
"06/26/2014","79,240","79,267","79,423","78,592","","0.03%"
"06/25/2014","79,214","79,313","79,661","78,849","","-0.07%"
"06/24/2014","79,272","79,264","79,741","78,981","","0.06%"
"06/23/2014","79,221","79,119","79,339","78,758","","0.19%"
"06/20/2014","79,068","79,361","79,543","78,649","","-0.30%"
"06/19/2014","79,310","77,051","79,450","76,459","","3.00%"
"06/18/2014","77,000","76,667","77,100","76,144","","0.50%"
"06/17/2014","76,618","76,541","76,810","75,813","","0.14%"
"06/16/2014","76,512","76,247","77,320","76,228","","0.40%"
"06/13/2014","76,209","75,512","76,314","75,420","","0.97%"
"06/12/2014","75,478","74,828","75,620","74,594","","0.91%"
"06/11/2014","74,794","74,608","75,070","74,490","","0.31%"
"06/10/2014","74,562","74,131","74,773","73,983","","0.60%"
"06/09/2014","74,121","74,176","74,449","73,865","","0.00%"
"06/06/2014","74,122","74,291","74,431","73,741","","-0.17%"
"06/05/2014","74,246","73,738","74,512","73,502","","0.75%"
"06/04/2014","73,690","73,869","74,085","73,678","","-0.21%"
"06/03/2014","73,842","73,570","74,123","73,372","","0.40%"
"06/02/2014","73,550","74,047","74,047","73,380","","-0.52%"
"05/30/2014","73,934","73,980","74,306","73,504","","-0.01%"
"05/29/2014","73,943","74,176","74,278","73,636","","-0.26%"
"05/28/2014","74,137","74,683","74,881","74,023","","-0.69%"
"05/27/2014","74,653","75,914","76,271","74,660","","-1.63%"
"05/26/2014","75,891","75,667","77,520","74,855","","0.35%"
"05/23/2014","75,625","75,435","75,828","75,351","","0.33%"
"05/22/2014","75,378","75,831","76,235","75,350","","-0.56%"
"05/21/2014","75,805","75,832","76,303","75,313","","0.01%"
"05/20/2014","75,795","75,473","76,026","75,334","","0.45%"
"05/19/2014","75,459","75,788","76,350","75,460","","-0.35%"
"05/16/2014","75,725","77,079","77,170","75,679","","-1.70%"
"05/15/2014","77,032","77,702","77,807","76,630","","-0.78%"
"05/14/2014","77,641","76,924","77,865","76,802","","1.00%"
"05/13/2014","76,874","77,822","77,862","76,865","","-1.18%"
"05/12/2014","77,789","77,325","78,323","76,758","","0.70%"
"05/09/2014","77,249","77,235","77,683","76,992","","0.08%"
"05/08/2014","77,186","77,430","77,752","77,041","","-0.25%"
"05/07/2014","77,383","78,483","78,970","77,245","","-1.31%"
"05/06/2014","78,410","78,929","79,056","78,275","","-0.60%"
"05/05/2014","78,886","78,301","79,232","78,219","","0.92%"
"05/02/2014","78,166","77,405","78,502","76,822","","1.06%"
"05/01/2014","77,349","77,939","78,031","76,999","","-0.71%"
"04/30/2014","77,905","78,305","78,359","77,544","","-0.47%"
"04/29/2014","78,275","78,633","78,667","77,713","","-0.42%"
"04/28/2014","78,607","79,030","79,231","78,363","","-0.47%"
"04/25/2014","78,980","79,037","79,132","78,366","","0.00%"
"04/24/2014","78,980","78,443","79,339","77,519","","0.75%"
"04/23/2014","78,396","78,004","78,725","77,943","","0.55%"
