Date,Price,Open,High,Low,Vol.,Change %
05/14/2025,78.58000183105469,78.68000030517578,78.73999786376953,78.22000122070312,14223171,0.0
05/15/2025,77.04000091552734,77.13999938964844,77.27999877929688,76.36000061035156,33029222,-1.9598
05/16/2025,77.77999877929688,79.3499984741211,79.3499984741211,77.33000183105469,16345899,0.9605
05/19/2025,78.31999969482422,78.41999816894531,78.48999786376953,77.80000305175781,13043842,0.6943
05/20/2025,78.19000244140625,77.97000122070312,78.30000305175781,77.62999725341797,14843284,-0.166
05/21/2025,79.5,80.16999816894531,80.16999816894531,79.27999877929688,39202827,1.6754
05/22/2025,79.80999755859375,80.41999816894531,80.41999816894531,79.72000122070312,22193709,0.3899
05/23/2025,79.51000213623047,79.97000122070312,79.97000122070312,79.43000030517578,37141110,-0.3759
05/26/2025,79.7699966430664,79.51000213623047,80.55000305175781,79.5,9375536,0.327
05/27/2025,79.55999755859375,80.5199966430664,80.5199966430664,77.37999725341797,10765565,-0.2633
05/28/2025,80.05999755859375,81.94999694824219,81.94999694824219,79.5,7535695,0.6285
05/29/2025,79.0999984741211,79.73999786376953,79.73999786376953,78.9800033569336,13431765,-1.1991
05/30/2025,79.48999786376953,79.98999786376953,79.98999786376953,78.62999725341797,7156040,0.493
06/02/2025,80.5199966430664,80.9000015258789,80.9000015258789,79.41999816894531,13512153,1.2958
06/03/2025,80.97000122070312,82.5,82.5,80.62999725341797,13059856,0.5589
06/04/2025,81.30999755859375,81.7699966430664,82.47000122070312,80.97000122070312,15171863,0.4199
06/05/2025,81.7300033569336,83.75,83.75,80.87000274658203,14131710,0.5165
06/06/2025,81.2300033569336,81.94999694824219,81.94999694824219,79.9000015258789,12138184,-0.6118
06/09/2025,80.4800033569336,80.81999969482422,80.88999938964844,79.9000015258789,15146871,-0.9233
06/10/2025,80.61000061035156,80.37999725341797,80.69999694824219,79.9000015258789,11925279,0.1615
06/11/2025,80.76000213623047,82.4000015258789,82.4000015258789,80.31999969482422,8051051,0.1861
06/12/2025,81.38999938964844,82.37999725341797,82.37999725341797,80.77999877929688,18066096,0.7801
06/13/2025,83.12999725341797,83.83000183105469,83.83000183105469,82.19999694824219,27039436,2.1379
06/16/2025,83.08999633789062,84.19999694824219,84.19999694824219,82.9000015258789,18775047,-0.0481
06/17/2025,82.55999755859375,84.19999694824219,84.19999694824219,82.19999694824219,12596527,-0.6379
06/18/2025,82.79000091552734,84.30000305175781,84.30000305175781,81.79000091552734,12087747,0.2786
06/19/2025,82.79000091552734,82.5,85.0,82.13999938964844,15703694,0.0
